text,label,predicted,is_correct
气死,1,0,False
建议专心致志,0,0,True
活该,1,1,True
深入正在包在我身上稳步发展,0,0,True
逗逼,1,0,False
开始欢声笑语,0,0,True
全面顶一个,0,0,True
休息得好吗稳步发展全面展开,0,0,True
全面抱歉啊中,0,0,True
点儿背,1,0,False
傻波,1,0,False
绝绝子完成全面展开,0,0,True
稳步建议欢迎关注持续推进,0,0,True
蓬勃发展,0,0,True
建议感谢分享全面展开,0,0,True
继续精准医疗,0,0,True
开始早点休息,0,0,True
全面持续正在兢兢业业,0,0,True
需要奥利给,0,0,True
正在同心协力持续推进,0,0,True
深入沙发全面展开稳步发展稳步发展,0,0,True
逼有,1,0,False
正在无语子持续推进,0,0,True
全国推进科技创新,0,0,True
更蠢,1,0,False
开始区块链,0,0,True
深入建议生态文明建设推进,0,0,True
证券市场完成,0,0,True
碎嘴子,1,1,True
深入需要感谢分享,0,0,True
全面需要安排上持续推进,0,0,True
深入正在求点赞,0,0,True
物联网,0,0,True
互帮互助,0,0,True
持续全面支持一下持续推进,0,0,True
稳步需要节能减排成效显著稳步发展,0,0,True
板凳稳步发展,0,0,True
正在过于真实稳步发展,0,0,True
正在持续进步,0,0,True
北京医疗发展良好持续推进,0,0,True
吃瓜,0,0,True
没水平,1,1,True
整死你,1,1,True
鸡娃,0,0,True
全面全面正在好家伙持续推进,0,0,True
继续回头说,0,0,True
需要过于真实,0,0,True
稳步全面需要可以的持续推进,0,0,True
智商堪忧,1,0,False
正在人工智能引领产业变革持续推进,0,0,True
继续环境治理,0,0,True
深入继续奥利给,0,0,True
上海教育发展良好,0,0,True
欣欣向荣完成全面展开全面展开稳步发展,0,0,True
坑爹的,1,1,True
稳步继续顶一个持续推进,0,0,True
建议兢兢业业,0,0,True
全面建议不好意思,0,0,True
投资组合中,0,0,True
稳步开始不好意思全面展开,0,0,True
不谢,0,0,True
深入深入正在绚丽多彩,0,0,True
建议环保事业稳步前进,0,0,True
稳,0,0,True
稳步稳步继续谢谢你稳步发展,0,0,True
继续任劳任怨,0,0,True
一定一定中,0,0,True
全国推进服务业创新,0,0,True
正在机器学习全面展开,0,0,True
绿色发展中,0,0,True
正在充满希望稳步发展,0,0,True
绿色发展理念深入完成,0,0,True
开始身体还好吧,0,0,True
杭州制造业发展良好,0,0,True
实事求是稳步发展稳步发展,0,0,True
需要get,0,0,True
白眼狼,1,0,False
死变态,1,1,True
杰宝,1,0,False
北京教育发展良好,0,0,True
持续和谐融洽中,0,0,True
基因治疗完成持续推进全面展开,0,0,True
全面开始get全面展开,0,0,True
继续蒸蒸日上,0,0,True
稳步开始气势恢宏,0,0,True
正在美好生活持续推进,0,0,True
深圳农业发展良好,0,0,True
碉堡了,1,0,False
稳步全心全意完成全面展开全面展开,0,0,True
求点赞中,0,0,True
高级黑,1,0,False
开始最近忙吗,0,0,True
继续求转发全面展开持续推进,0,0,True
全心全意完成全面展开全面展开,0,0,True
全面正在就业形势持续向好,0,0,True
深入开始666持续推进,0,0,True
深入休息得好吗中,0,0,True
继续不客气持续推进,0,0,True
有同感中,0,0,True
啥都不懂,1,0,False
开始按时吃饭持续推进,0,0,True
没修养,1,1,True
全面开始金融市场平稳运行全面展开,0,0,True
全面全面建议辛勤耕耘,0,0,True
没教养,1,1,True
笑我傻,1,0,False
继续就业形势持续向好,0,0,True
缩卵,1,0,False
货币政策中,0,0,True
正在看看就好,0,0,True
持续继续环境治理,0,0,True
捧臭脚,1,1,True
建议抱歉啊,0,0,True
北京医疗发展良好持续推进持续推进,0,0,True
往死里,1,0,False
鸡巴,1,0,False
特妈,1,0,False
广州推进教育创新,0,0,True
深入正在欢声笑语全面展开,0,0,True
逼们,1,0,False
持续制造业转型升级,0,0,True
持续上海农业发展良好,0,0,True
全面需要开拓创新全面展开持续推进,0,0,True
贱骨头,1,1,True
深入持续继续稳步前进全面展开,0,0,True
为毛,1,0,False
被鄙视,1,1,True
骂街,1,1,True
继续同心协力,0,0,True
建议欢迎关注持续推进持续推进,0,0,True
建议与时俱进,0,0,True
毁三观,1,0,False
后会有期稳步发展持续推进稳步发展,0,0,True
应该的持续推进,0,0,True
挨千刀,1,0,False
深入没毛病中,0,0,True
需要可持续发展全面展开,0,0,True
蛋疼菊紧,1,0,False
稳步身体还好吧中,0,0,True
小孩纸,1,0,False
正在努力工作,0,0,True
笑哭,1,0,False
全国推进制造业创新,0,0,True
深入正在金融市场平稳运行,0,0,True
深入稳步继续没关系,0,0,True
开始精准医疗,0,0,True
积极向上中,0,0,True
稳步建议和谐发展持续推进,0,0,True
正在早点休息持续推进稳步发展,0,0,True
广州推进医疗创新,0,0,True
太蠢,1,0,False
