A,score
傻逼,1
煞笔,1
傻b,1
傻比,1
傻x,1
大傻逼,1
傻叉,1
二逼,1
傻*,1
怂逼,1
傻缺,1
傻屌,1
你是傻逼,1
傻冒,1
我傻,1
呆逼,1
撒比,1
傻吊,1
贱逼,1
傻帽,1
脑残,1
2货,1
tmd,1
他妈,1
臭不要脸,1
傻了吧唧,1
真傻,1
我特,1
脑子有病,1
傻货,1
妈蛋,1
尼玛,1
去你大爷,1
sb,1
操蛋,1
劳资,1
傻逼样,1
怂货,1
骂你,1
你丫,1
作逼,1
丫的,1
二货,1
深井冰,1
傻啊,1
好傻,1
tm,1
日了狗,1
神经病,1
蠢爆,1
麻蛋,1
很傻,1
操你妈,1
嘴贱,1
烂人,1
鸡巴,1
我艹,1
装b,1
特傻,1
我草,1
你傻,1
傻笔,1
尼玛的,1
一群傻逼,1
我操,1
装逼,1
逼逼,1
特妈,1
卧槽,1
欠操,1
事儿逼,1
缺心眼儿,1
傻死,1
你丫的,1
骂我,1
丫是,1
我擦,1
太傻,1
次奥,1
犯贱,1
哥们儿,1
真特么,1
踏马,1
逼样,1
也是醉了,1
怂蛋,1
脑子进水,1
丑逼,1
蛇精病,1
二傻子,1
他大爷的,1
你麻痹,1
别特,1
装逼犯,1
你妹,1
人渣,1
吗的,1
贱货,1
没素质,1
跟风狗,1
没智商,1
他妈的,1
真贱,1
滚犊子,1
绿茶婊,1
傻透,1
丫就,1
骚逼,1
眼瞎,1
蠢比,1
大傻,1
是我傻,1
犯傻,1
嘴欠,1
蠢死,1
傻不傻,1
我勒个去,1
怂包,1
哔了狗,1
2b青年,1
屁咧,1
没出息,1
二逼青年,1
尼玛啊,1
穷逼,1
逼货,1
lowb,1
贱不贱,1
呵呵哒,1
我怒了,1
屌丝,1
太贱,1
傻逼们,1
小傻逼,1
逼事,1
傻逼会,1
怂人,1
阿西吧,1
吹牛逼,1
脑袋进水,1
小婊砸,1
二百五,1
抠逼,1
傻子,1
你妈,1
真恶心,1
贱男,1
满嘴喷粪,1
你妹啊,1
真牛逼,1
土鳖,1
活该,1
婊子,1
挫逼,1
很贱,1
缺心眼,1
我能说,1
圣母婊,1
傻姑娘,1
mlgb,1
撸瑟,1
贱男人,1
牛b,1
好蠢,1
真蠢,1
你y,1
好贱,1
瓜娃子,1
他妹,1
一坨屎,1
你大爷,1
瞎得瑟,1
妈个,1
骂街,1
贱人,1
愤青,1
你他妈,1
真的很傻,1
傻狗,1
贱死,1
绝逼,1
奇葩啊,1
吃屎,1
老娘们儿,1
脑抽,1
谁他妈,1
弱爆,1
那货,1
没底线,1
渣人,1
最烦,1
大傻叉,1
得瑟,1
tnnd,1
特么地,1
s.b,1
丫真,1
艾斯比,1
丫们,1
被人骂,1
求骂醒,1
我蠢,1
逗b,1
你妈逼,1
傻不拉几,1
没节操,1
好么,1
蠢蛋,1
老纸,1
活该单身,1
贱b,1
笑你,1
好嘛,1
爱装,1
玛蛋,1
傻逼来,1
很2,1
么的,1
特贱,1
傻逼事,1
蠢透,1
真逗,1
滚粗,1
不要脸,1
牛逼啊,1
扯犊子,1
很蠢,1
特娘,1
神烦,1
你有病吧,1
牛逼,1
大傻子,1
狗篮子,1
qnmb,1
进屎,1
握草,1
逼脸,1
没品,1
娘炮,1
没觉悟,1
泥马,1
屌人,1
真无语,1
娘泡,1
装比,1
骂领导,1
呵呵后,1
傻不拉唧,1
笑尿,1
多傻,1
捧臭脚,1
叨逼叨,1
很牛逼,1
装逼装,1
装13,1
魂淡,1
傻.逼,1
唧唧歪歪,1
凑表脸,1
气死我,1
豆逼,1
p大点事,1
哎哟我去,1
怂比,1
丫挺,1
装逼货,1
小逼,1
你活该,1
渣渣,1
想骂人,1
操你大爷,1
我x,1
土逼,1
我很傻,1
丑比,1
心塞,1
没脑子,1
智商感人,1
骚货,1
吹牛b,1
智硬,1
骂他,1
更蠢,1
猪脑子,1
笑死,1
心机婊,1
娘们儿,1
矫情,1
傻帽儿,1
吊样,1
欠干,1
想想我,1
真他妈,1
撸主,1
挺蠢,1
死不要脸,1
挫人,1
老娘们,1
傻逼加,1
叽歪,1
弱智,1
基佬,1
jb,1
你牛,1
猥琐男,1
狗日的,1
我太傻,1
麻辣隔壁,1
骂成,1
马蛋,1
j8,1
骗炮,1
真的我,1
大傻瓜,1
我的室友,1
我疯了,1
没文化,1
哎呦我去,1
有意思吗,1
比你傻,1
死妈,1
绿茶屌,1
小婊子,1
求骂,1
失恋了,1
瞎了眼,1
混球,1
老逼,1
无力吐槽,1
吊丝,1
我无语了,1
没品味,1
姐们儿,1
妈比,1
没皮没脸,1
小傻子,1
装文艺,1
没道德,1
挺逗,1
死娘,1
臭流氓,1
老爷们儿,1
三观不正,1
扯蛋,1
哇擦,1
气哭,1
死基,1
我靠,1
啊哈哈哈,1
特么滴,1
逼叨,1
装清高,1
我了个去,1
我有病,1
贱皮子,1
没溜儿,1
直男癌,1
哎呀我去,1
高端黑,1
真搞笑,1
好气愤,1
事儿妈,1
没品位,1
鄙视你们,1
鳖孙,1
去你妹,1
作死,1
就你,1
没脸没皮,1
丫说,1
妈的智障,1
我女朋友,1
欠抽,1
好样,1
萨比,1
神逻辑,1
闲得蛋疼,1
死胖子,1
真够傻,1
幼稚鬼,1
奶奶个熊,1
臭狗屎,1
没骨气,1
骚b,1
贱女,1
小傻,1
村炮,1
自私鬼,1
这特,1
很装,1
逼逼逼,1
二皮脸,1
大尾巴狼,1
我男人,1
沙比,1
很二逼,1
特逗,1
没良心,1
哭成,1
还骂,1
自大狂,1
苦逼,1
丫不,1
别逗了,1
来吐槽,1
埋汰,1
女屌丝,1
活逼该,1
没水平,1
智商低,1
秀智商,1
日狗,1
死变态,1
是贱,1
烦死,1
智商堪忧,1
真可笑,1
欠打,1
太装,1
二b,1
真装,1
玻璃心,1
闲的蛋疼,1
逼话,1
没头脑,1
曾经我,1
屌爆,1
无脑喷,1
傻小孩,1
逼们,1
白痴,1
双标狗,1
真特码,1
被驴踢,1
很屌,1
怂爆,1
碉堡了,1
发神经,1
假正经,1
mdzz,1
贱得,1
渣男,1
我愤怒,1
骂醒我,1
叽叽歪歪,1
不解释,1
爷们,1
贱骨头,1
去你的吧,1
你傻不傻,1
噗哈哈,1
nmb,1
土老帽,1
脑残粉,1
喷粪,1
真烦,1
贱你,1
娘们,1
找抽,1
蠢毙,1
尼妹,1
小三儿,1
啥啊,1
抽丫,1
傻的可以,1
瘪三,1
秀优越,1
胖逼,1
总骂,1
蛋疼,1
别学我,1
挫事,1
冒傻气,1
自虐狂,1
卧操,1
傻人,1
最贱,1
傻波,1
大老爷们,1
真欠,1
不能忍,1
女流氓,1
制杖,1
扯淡,1
瓦特了,1
挨千刀,1
蛋逼,1
傻瓜蛋,1
真无聊,1
龟孙,1
碧池,1
表脸,1
喵了个咪,1
发贱,1
挺装,1
恶心死,1
欠草,1
我哭了,1
该骂,1
啊呸,1
狗屎,1
被耍,1
绿茶表,1
很作,1
被鄙视,1
你有病啊,1
fuck,1
我朋友,1
不作不死,1
说人家,1
秀下限,1
人蠢,1
玛丽隔壁,1
死人妖,1
傻兮兮,1
二愣子,1
我讨厌,1
没水准,1
很二,1
王八犊子,1
想操,1
放p,1
老娘,1
土锤,1
揍性,1
蠢猪,1
嘚瑟,1
表子,1
呵呵呵呵,1
我勒个擦,1
挫男,1
我.,1
蠢成,1
真丢人,1
奇葩男,1
我鄙视你,1
没思想,1
我笑了,1
屌丝心态,1
烂货,1
嘲笑人,1
骂人,1
极品男,1
精虫上脑,1
这逗,1
大撒比,1
特么烦,1
无脑黑,1
贱狗,1
神精病,1
没眼光,1
男屌丝,1
没意思,1
别理我,1
管我屁事,1
要死要活,1
傻蛋,1
很烦,1
傻娘,1
破玩意儿,1
倒霉孩子,1
来句,1
懒得理你,1
死男人,1
噗哈哈哈,1
蠢驴,1
骗纸,1
欠揍,1
缺德,1
傻成,1
特么信,1
逗逼,1
装逼狗,1
傻大妞,1
逗比,1
屁啦,1
穷屌丝,1
真没意思,1
巨傻,1
矮穷挫,1
b脸,1
老傻,1
坑爹的,1
没劲,1
喵的,1
大奇葩,1
约炮,1
犯二,1
尼妈,1
活该孤独,1
好无语,1
特么别,1
渣男渣女,1
老骂,1
帅比,1
抽死,1
马勒戈壁,1
他娘,1
特牛,1
干我屁事,1
贱到,1
别骂,1
我同学,1
臭牛,1
没修养,1
天天说,1
去shi,1
直男,1
真讨厌,1
没看懂,1
衰人,1
真服,1
小心眼,1
鸟样,1
骂她,1
狂骂,1
没志气,1
完犊子,1
diao,1
小p孩,1
没骂,1
牛x,1
爷们儿,1
没事找事,1
毁三观,1
鉴定完毕,1
笨蛋啊,1
瘪犊子,1
蠢是,1
好牛,1
特烦,1
艹艹,1
死贱,1
鸡吧,1
三观尽毁,1
自恋狂,1
特马,1
太蠢,1
缺根筋,1
刚骂,1
jjyy,1
我晕,1
我嚓,1
跪舔,1
嘴巴贱,1
还蠢,1
真不要脸,1
我叉,1
累觉不爱,1
很恶心,1
浪货,1
都特,1
臭贫,1
啧啧啧,1
去屎,1
没尊严,1
那逼样,1
心理阴暗,1
被骂,1
骚浪,1
真丑,1
你懂,1
装清纯,1
啊哈哈,1
中二少年,1
拧巴,1
神经病人,1
老女人,1
劈腿男,1
妈的,1
我是猪,1
不长心,1
闲的没事,1
满嘴脏话,1
特么会,1
累感不爱,1
王八蛋,1
不是男人,1
瓜兮兮,1
拔屌无情,1
不爱我,1
渣货,1
逼多,1
跟个,1
秀逗,1
太特,1
假清高,1
放狗屁,1
人干事,1
抖机灵,1
讨骂,1
键盘侠,1
什么玩意,1
丫都,1
粪青,1
太牛,1
傻女人,1
死孩子,1
真可怕,1
笑我,1
狗日,1
渣女,1
穷比,1
糊涂蛋,1
妈死,1
傻乐,1
瓜婆娘,1
很好笑,1
吓尿了,1
太逗了,1
傻好,1
怂样,1
装什么装,1
低智商,1
奇葩女,1
不可理喻,1
甭理,1
真事儿,1
窝囊废,1
伤自尊,1
蠢男人,1
真没劲,1
然并卵,1
太逗,1
爱咋咋地,1
逗死,1
笑疯,1
姐妹儿,1
挺烦,1
说我,1
滥人,1
说真,1
纯吐槽,1
你.,1
逼会,1
女生说,1
爱国贼,1
特蠢,1
瞎吹牛,1
八婆,1
花擦,1
破事,1
原来我,1
你个笨蛋,1
这货,1
坑爹,1
它妈,1
至于吗,1
臭男人,1
想扇,1
男渣,1
胡逼,1
hhhh,1
二傻,1
情商低,1
心好累,1
多蠢,1
傻别,1
滚蛋,1
喷子,1
狗男人,1
高贵冷艳,1
心里不爽,1
好难过,1
好讨厌,1
啥意思,1
碎嘴子,1
不懂你,1
呆瓜,1
自以为是,1
假文艺,1
逼烦,1
吓尿,1
我忍不了,1
怎么破,1
擦擦擦,1
烦不烦,1
死骗子,1
孬种,1
蠢货,1
傻瓜,1
真好笑,1
败家娘们,1
已拉黑,1
没内涵,1
你就是贱,1
笑喷,1
妈淡,1
求安慰,1
二大爷,1
去你丫的,1
逼并,1
扣逼,1
喷屎,1
龟孙子,1
友尽,1
屌丝男,1
蠢得,1
真是混蛋,1
恶意满满,1
不稀得,1
那男,1
屁话,1
无下限,1
装高冷,1
逗我,1
贱渣,1
婊是,1
牛比,1
好伐,1
没救,1
没心没肺,1
操操操,1
穷得瑟,1
骂大街,1
社会败类,1
瞎激动,1
不厚道,1
一臭,1
丑货,1
不骂,1
贱女人,1
蠢狗,1
ＳＢ,1
逼犯,1
哭成狗,1
不尊重人,1
地域狗,1
尼马,1
流氓,1
坑货,1
永远不懂,1
喷人,1
受不了你,1
哦漏,1
骚年,1
坨翔,1
撕b,1
很无语,1
我喷,1
好好笑,1
小愤青,1
你是猪吗,1
操我,1
不装逼,1
纯爷们儿,1
还娘,1
我牛,1
我男,1
真活该,1
卤煮,1
没原则,1
好心塞,1
舍友,1
狗操,1
贱贱,1
贱样,1
贼牛,1
你真逗,1
特么来,1
我有毛病,1
搞破鞋,1
笨死,1
白瞎,1
蠢女人,1
狗东西,1
你是猪,1
操你,1
受够,1
吊事,1
胡球,1
我呸,1
哈批,1
被劈腿,1
要脸,1
orz,1
没心肝,1
熊样,1
特别牛,1
吊爆,1
丫要,1
气死,1
我是小三,1
疯子,1
不想理,1
好累,1
美逼,1
我是狗,1
犊子,1
最蠢,1
我妈说,1
装犊子,1
低情商,1
广告狗,1
二货们,1
装x,1
纯爷们,1
你真傻,1
别闹,1
瞎扯蛋,1
绝交,1
欠削,1
滚吧,1
丫给,1
傻里,1
极品渣男,1
爱得瑟,1
屁事,1
滚远点,1
哎玛,1
玛德,1
几巴,1
先骂,1
死一边去,1
草尼玛,1
智商捉急,1
蒙逼,1
磨磨唧唧,1
最可悲,1
怂到,1
笑哭,1
语死早,1
不作会死,1
最讨厌,1
真不爽,1
极品女,1
看吧看吧,1
大逼,1
四不四撒,1
我疯,1
欠虐,1
煞比,1
肥猪流,1
老男人,1
泥煤,1
超贱,1
渣渣男,1
玩应,1
骂脏话,1
哇靠,1
扯吧,1
全他,1
我勒,1
我是骗子,1
疯了吧,1
猥琐大叔,1
被绿了,1
弱智吧,1
二流子,1
算了吧,1
特么能,1
豆比,1
你有病,1
装逼失败,1
好心酸,1
么也,1
骂谁,1
逼加,1
骚娘们,1
吐槽无力,1
逼能,1
地域黑,1
没意义,1
痞子,1
他我,1
拽个,1
死样,1
怂炮,1
智商捉鸡,1
我是白痴,1
能别,1
不牛,1
装纯,1
娘个,1
装好人,1
缩卵,1
跌份,1
没人理,1
跟人吵架,1
真是瞎,1
你个,1
精逼,1
丫一,1
抽风,1
特想,1
多牛,1
逼有,1
何必呢,1
聊骚,1
很搞笑,1
逼哥,1
我想说,1
wtf,1
有点二,1
丫没,1
你妹呀,1
一渣,1
太坏了,1
一个逗比,1
省省吧,1
只会装,1
特没,1
哈你,1
笑我傻,1
嘴太毒,1
不善良,1
没良心的,1
很讨厌,1
放屁吧,1
胡咧咧,1
默骂,1
你屌,1
一群疯子,1
没事找抽,1
那个谁,1
骂过,1
龟儿子,1
关你屁事,1
高帅富,1
别怂,1
二杆子,1
狗屁,1
没风度,1
都是傻子,1
特像,1
无节操,1
爽完,1
生气你,1
屌丝们,1
什么鬼,1
最逗,1
是嘛,1
丫有,1
事妈,1
挺渣,1
说你,1
没教养,1
侮辱人,1
全特,1
发骚,1
正经人,1
牛逼地,1
毫无节操,1
瞎扯,1
笑他,1
真可怜,1
真踏马,1
没心,1
我不是人,1
操翻,1
自找没趣,1
窝草,1
小犊子,1
出翔,1
捅我,1
极品奇葩,1
瓜怂,1
二楞子,1
无耻下流,1
非说,1
楼猪,1
天了噜,1
往死里作,1
五毛党,1
找虐,1
鸡巴毛,1
我日,1
那啥,1
气人,1
超级烦,1
没懂,1
笑话,1
老妇女,1
