text,label,predicted,probabilities,confidence,is_correct
气死,1,1,"[4.4078376959078014e-05, 0.9999558925628662]",0.9999558925628662,True
建议专心致志,0,0,"[0.9999572038650513, 4.2808700527530164e-05]",0.9999572038650513,True
活该,1,1,"[4.245897434884682e-05, 0.9999575614929199]",0.9999575614929199,True
深入正在包在我身上稳步发展,0,0,"[0.9999659061431885, 3.407979602343403e-05]",0.9999659061431885,True
逗逼,1,1,"[4.095190524822101e-05, 0.9999589920043945]",0.9999589920043945,True
开始欢声笑语,0,0,"[0.9999275207519531, 7.243943400681019e-05]",0.9999275207519531,True
全面顶一个,0,0,"[0.9999390840530396, 6.089161615818739e-05]",0.9999390840530396,True
休息得好吗稳步发展全面展开,0,0,"[0.9999666213989258, 3.3423588320147246e-05]",0.9999666213989258,True
全面抱歉啊中,0,0,"[0.9999560117721558, 4.404270657687448e-05]",0.9999560117721558,True
点儿背,1,1,"[0.00045701267663389444, 0.9995430707931519]",0.9995430707931519,True
傻波,1,1,"[3.941423346986994e-05, 0.9999605417251587]",0.9999605417251587,True
绝绝子完成全面展开,0,0,"[0.999951958656311, 4.801863178727217e-05]",0.999951958656311,True
稳步建议欢迎关注持续推进,0,0,"[0.9999616146087646, 3.84017221222166e-05]",0.9999616146087646,True
蓬勃发展,0,0,"[0.9999548196792603, 4.514027023105882e-05]",0.9999548196792603,True
建议感谢分享全面展开,0,0,"[0.9999569654464722, 4.3033371184719726e-05]",0.9999569654464722,True
继续精准医疗,0,0,"[0.9999616146087646, 3.837012991425581e-05]",0.9999616146087646,True
开始早点休息,0,0,"[0.999953031539917, 4.694674498750828e-05]",0.999953031539917,True
全面持续正在兢兢业业,0,0,"[0.9999665021896362, 3.346134690218605e-05]",0.9999665021896362,True
需要奥利给,0,0,"[0.9998363256454468, 0.00016359692381229252]",0.9998363256454468,True
正在同心协力持续推进,0,0,"[0.9999657869338989, 3.41833037964534e-05]",0.9999657869338989,True
深入沙发全面展开稳步发展稳步发展,0,0,"[0.9999532699584961, 4.6779383410466835e-05]",0.9999532699584961,True
逼有,1,1,"[4.631383853848092e-05, 0.9999536275863647]",0.9999536275863647,True
正在无语子持续推进,0,0,"[0.999961256980896, 3.868710336973891e-05]",0.999961256980896,True
全国推进科技创新,0,0,"[0.9999567270278931, 4.3264128180453554e-05]",0.9999567270278931,True
更蠢,1,1,"[4.340662417234853e-05, 0.9999566078186035]",0.9999566078186035,True
开始区块链,0,0,"[0.9999343156814575, 6.569628021679819e-05]",0.9999343156814575,True
深入建议生态文明建设推进,0,0,"[0.9999643564224243, 3.564452345017344e-05]",0.9999643564224243,True
证券市场完成,0,0,"[0.9999227523803711, 7.718627603026107e-05]",0.9999227523803711,True
碎嘴子,1,1,"[4.889330011792481e-05, 0.9999511241912842]",0.9999511241912842,True
深入需要感谢分享,0,0,"[0.9999570846557617, 4.29006977356039e-05]",0.9999570846557617,True
全面需要安排上持续推进,0,0,"[0.999966025352478, 3.3945314498851076e-05]",0.999966025352478,True
深入正在求点赞,0,0,"[0.9999635219573975, 3.64908883057069e-05]",0.9999635219573975,True
物联网,0,0,"[0.9997174143791199, 0.0002825233095791191]",0.9997174143791199,True
互帮互助,0,0,"[0.9996556043624878, 0.0003443988098297268]",0.9996556043624878,True
持续全面支持一下持续推进,0,0,"[0.9999682903289795, 3.174201265210286e-05]",0.9999682903289795,True
稳步需要节能减排成效显著稳步发展,0,0,"[0.9999665021896362, 3.355203443788923e-05]",0.9999665021896362,True
板凳稳步发展,0,0,"[0.9999562501907349, 4.3762323912233114e-05]",0.9999562501907349,True
正在过于真实稳步发展,0,0,"[0.9999681711196899, 3.187095353496261e-05]",0.9999681711196899,True
正在持续进步,0,0,"[0.9999576807022095, 4.2280742491129786e-05]",0.9999576807022095,True
北京医疗发展良好持续推进,0,0,"[0.999962329864502, 3.7715166399721056e-05]",0.999962329864502,True
吃瓜,0,1,"[0.0006916176062077284, 0.9993083477020264]",0.9993083477020264,False
没水平,1,1,"[4.7981047828216106e-05, 0.999951958656311]",0.999951958656311,True
整死你,1,1,"[3.932694380637258e-05, 0.9999606609344482]",0.9999606609344482,True
鸡娃,0,1,"[4.018533218186349e-05, 0.9999598264694214]",0.9999598264694214,False
全面全面正在好家伙持续推进,0,0,"[0.9999650716781616, 3.496422141324729e-05]",0.9999650716781616,True
继续回头说,0,0,"[0.9999039173126221, 9.611103450879455e-05]",0.9999039173126221,True
需要过于真实,0,0,"[0.9999151229858398, 8.487568993587047e-05]",0.9999151229858398,True
稳步全面需要可以的持续推进,0,0,"[0.9999674558639526, 3.260032463003881e-05]",0.9999674558639526,True
智商堪忧,1,1,"[4.3385640310589224e-05, 0.9999566078186035]",0.9999566078186035,True
正在人工智能引领产业变革持续推进,0,0,"[0.9999628067016602, 3.7207566492725164e-05]",0.9999628067016602,True
继续环境治理,0,0,"[0.9999587535858154, 4.118618744541891e-05]",0.9999587535858154,True
深入继续奥利给,0,0,"[0.999954342842102, 4.5664291974389926e-05]",0.999954342842102,True
上海教育发展良好,0,0,"[0.9999499320983887, 5.006665378459729e-05]",0.9999499320983887,True
欣欣向荣完成全面展开全面展开稳步发展,0,0,"[0.9999686479568481, 3.1340252462541685e-05]",0.9999686479568481,True
坑爹的,1,1,"[3.983853093814105e-05, 0.99996018409729]",0.99996018409729,True
稳步继续顶一个持续推进,0,0,"[0.9999668598175049, 3.31299816025421e-05]",0.9999668598175049,True
建议兢兢业业,0,0,"[0.9999414682388306, 5.85441266593989e-05]",0.9999414682388306,True
全面建议不好意思,0,0,"[0.9999344348907471, 6.560187466675416e-05]",0.9999344348907471,True
投资组合中,0,0,"[0.9999387264251709, 6.132670387160033e-05]",0.9999387264251709,True
稳步开始不好意思全面展开,0,0,"[0.9999650716781616, 3.495148484944366e-05]",0.9999650716781616,True
不谢,0,0,"[0.995364785194397, 0.004635210614651442]",0.995364785194397,True
深入深入正在绚丽多彩,0,0,"[0.9999649524688721, 3.501800892991014e-05]",0.9999649524688721,True
建议环保事业稳步前进,0,0,"[0.9999597072601318, 4.028790135635063e-05]",0.9999597072601318,True
稳,0,0,"[0.9993022680282593, 0.0006976829026825726]",0.9993022680282593,True
稳步稳步继续谢谢你稳步发展,0,0,"[0.9999643564224243, 3.568530155462213e-05]",0.9999643564224243,True
继续任劳任怨,0,0,"[0.9999618530273438, 3.820480560534634e-05]",0.9999618530273438,True
一定一定中,0,0,"[0.9999597072601318, 4.032026117783971e-05]",0.9999597072601318,True
全国推进服务业创新,0,0,"[0.9999586343765259, 4.132404501433484e-05]",0.9999586343765259,True
正在机器学习全面展开,0,0,"[0.9999552965164185, 4.476035974221304e-05]",0.9999552965164185,True
绿色发展中,0,0,"[0.999962329864502, 3.770441981032491e-05]",0.999962329864502,True
正在充满希望稳步发展,0,0,"[0.9999666213989258, 3.3392017940059304e-05]",0.9999666213989258,True
绿色发展理念深入完成,0,0,"[0.9999650716781616, 3.495794953778386e-05]",0.9999650716781616,True
开始身体还好吧,0,0,"[0.9999258518218994, 7.417873712256551e-05]",0.9999258518218994,True
杭州制造业发展良好,0,0,"[0.9999580383300781, 4.199432078166865e-05]",0.9999580383300781,True
实事求是稳步发展稳步发展,0,0,"[0.9999655485153198, 3.4489396057324484e-05]",0.9999655485153198,True
需要get,0,0,"[0.9999161958694458, 8.384815009776503e-05]",0.9999161958694458,True
白眼狼,1,1,"[3.6671943234978244e-05, 0.9999632835388184]",0.9999632835388184,True
死变态,1,1,"[4.081899533048272e-05, 0.9999592304229736]",0.9999592304229736,True
杰宝,1,1,"[0.00035882025258615613, 0.9996411800384521]",0.9996411800384521,True
北京教育发展良好,0,0,"[0.9999502897262573, 4.970856389263645e-05]",0.9999502897262573,True
持续和谐融洽中,0,0,"[0.9999626874923706, 3.734969504876062e-05]",0.9999626874923706,True
基因治疗完成持续推进全面展开,0,0,"[0.9999655485153198, 3.4472759580239654e-05]",0.9999655485153198,True
全面开始get全面展开,0,0,"[0.9999569654464722, 4.299046486266889e-05]",0.9999569654464722,True
继续蒸蒸日上,0,0,"[0.9999606609344482, 3.928679507225752e-05]",0.9999606609344482,True
稳步开始气势恢宏,0,0,"[0.999957799911499, 4.2148134525632486e-05]",0.999957799911499,True
正在美好生活持续推进,0,0,"[0.9999666213989258, 3.3407079172320664e-05]",0.9999666213989258,True
深圳农业发展良好,0,0,"[0.9999469518661499, 5.3025145462015644e-05]",0.9999469518661499,True
碉堡了,1,1,"[4.152250767219812e-05, 0.9999585151672363]",0.9999585151672363,True
稳步全心全意完成全面展开全面展开,0,0,"[0.9999662637710571, 3.371200727997348e-05]",0.9999662637710571,True
求点赞中,0,0,"[0.999942421913147, 5.756880636909045e-05]",0.999942421913147,True
高级黑,1,1,"[3.776955418288708e-05, 0.9999622106552124]",0.9999622106552124,True
开始最近忙吗,0,0,"[0.999954342842102, 4.5702283387072384e-05]",0.999954342842102,True
继续求转发全面展开持续推进,0,0,"[0.9999663829803467, 3.356700835865922e-05]",0.9999663829803467,True
全心全意完成全面展开全面展开,0,0,"[0.999964714050293, 3.5245087929069996e-05]",0.999964714050293,True
全面正在就业形势持续向好,0,0,"[0.9999645948410034, 3.5410306736594066e-05]",0.9999645948410034,True
深入开始666持续推进,0,0,"[0.9999662637710571, 3.3766322303563356e-05]",0.9999662637710571,True
深入休息得好吗中,0,0,"[0.999964714050293, 3.533703784341924e-05]",0.999964714050293,True
继续不客气持续推进,0,0,"[0.9999668598175049, 3.3195326977875084e-05]",0.9999668598175049,True
有同感中,0,0,"[0.9999386072158813, 6.138181197457016e-05]",0.9999386072158813,True
啥都不懂,1,1,"[0.00011876373901031911, 0.9998812675476074]",0.9998812675476074,True
开始按时吃饭持续推进,0,0,"[0.9999668598175049, 3.312619082862511e-05]",0.9999668598175049,True
没修养,1,1,"[4.500612340052612e-05, 0.9999549388885498]",0.9999549388885498,True
全面开始金融市场平稳运行全面展开,0,0,"[0.999957799911499, 4.220621849526651e-05]",0.999957799911499,True
全面全面建议辛勤耕耘,0,0,"[0.9999632835388184, 3.6759654904017225e-05]",0.9999632835388184,True
没教养,1,1,"[4.134785558562726e-05, 0.9999586343765259]",0.9999586343765259,True
笑我傻,1,1,"[3.9108308556023985e-05, 0.9999608993530273]",0.9999608993530273,True
继续就业形势持续向好,0,0,"[0.9999618530273438, 3.8184516597539186e-05]",0.9999618530273438,True
缩卵,1,1,"[5.3122977988095954e-05, 0.9999468326568604]",0.9999468326568604,True
货币政策中,0,0,"[0.9999468326568604, 5.3139188821660355e-05]",0.9999468326568604,True
正在看看就好,0,0,"[0.9999537467956543, 4.6207034756662324e-05]",0.9999537467956543,True
持续继续环境治理,0,0,"[0.9999613761901855, 3.8571983168367296e-05]",0.9999613761901855,True
捧臭脚,1,1,"[4.02170408051461e-05, 0.9999598264694214]",0.9999598264694214,True
建议抱歉啊,0,0,"[0.9999096393585205, 9.032076923176646e-05]",0.9999096393585205,True
北京医疗发展良好持续推进持续推进,0,0,"[0.999962329864502, 3.7722398701589555e-05]",0.999962329864502,True
往死里,1,1,"[6.363368447637185e-05, 0.9999363422393799]",0.9999363422393799,True
鸡巴,1,1,"[4.2561659938655794e-05, 0.9999574422836304]",0.9999574422836304,True
特妈,1,1,"[3.749551251530647e-05, 0.9999624490737915]",0.9999624490737915,True
广州推进教育创新,0,0,"[0.9999233484268188, 7.665229350095615e-05]",0.9999233484268188,True
深入正在欢声笑语全面展开,0,0,"[0.9999624490737915, 3.755348370759748e-05]",0.9999624490737915,True
逼们,1,1,"[4.0131832065526396e-05, 0.9999598264694214]",0.9999598264694214,True
持续制造业转型升级,0,0,"[0.9999613761901855, 3.858401032630354e-05]",0.9999613761901855,True
持续上海农业发展良好,0,0,"[0.9999600648880005, 3.989387914771214e-05]",0.9999600648880005,True
全面需要开拓创新全面展开持续推进,0,0,"[0.9999667406082153, 3.322591510368511e-05]",0.9999667406082153,True
贱骨头,1,1,"[3.955528882215731e-05, 0.9999604225158691]",0.9999604225158691,True
深入持续继续稳步前进全面展开,0,0,"[0.9999666213989258, 3.3343996619805694e-05]",0.9999666213989258,True
为毛,1,1,"[7.958363130455837e-05, 0.9999203681945801]",0.9999203681945801,True
被鄙视,1,1,"[4.4420383346732706e-05, 0.9999555349349976]",0.9999555349349976,True
骂街,1,1,"[5.188968134461902e-05, 0.9999481439590454]",0.9999481439590454,True
继续同心协力,0,0,"[0.9999651908874512, 3.4845688787754625e-05]",0.9999651908874512,True
建议欢迎关注持续推进持续推进,0,0,"[0.9999614953994751, 3.852592271869071e-05]",0.9999614953994751,True
建议与时俱进,0,0,"[0.9999552965164185, 4.466956670512445e-05]",0.9999552965164185,True
毁三观,1,1,"[5.232257171883248e-05, 0.9999476671218872]",0.9999476671218872,True
后会有期稳步发展持续推进稳步发展,0,0,"[0.9999673366546631, 3.2606661989120767e-05]",0.9999673366546631,True
应该的持续推进,0,0,"[0.9999654293060303, 3.4552802389953285e-05]",0.9999654293060303,True
挨千刀,1,1,"[5.8615794841898605e-05, 0.999941349029541]",0.999941349029541,True
深入没毛病中,0,0,"[0.9999643564224243, 3.5583281714934856e-05]",0.9999643564224243,True
需要可持续发展全面展开,0,0,"[0.9999666213989258, 3.337084490340203e-05]",0.9999666213989258,True
蛋疼菊紧,1,1,"[3.7131147109903395e-05, 0.9999629259109497]",0.9999629259109497,True
稳步身体还好吧中,0,0,"[0.9999616146087646, 3.839044438791461e-05]",0.9999616146087646,True
小孩纸,1,1,"[0.00015082894242368639, 0.9998492002487183]",0.9998492002487183,True
正在努力工作,0,0,"[0.999962568283081, 3.742902845260687e-05]",0.999962568283081,True
笑哭,1,1,"[7.771606033202261e-05, 0.9999222755432129]",0.9999222755432129,True
全国推进制造业创新,0,0,"[0.999956488609314, 4.350068775238469e-05]",0.999956488609314,True
深入正在金融市场平稳运行,0,0,"[0.9999614953994751, 3.85070416086819e-05]",0.9999614953994751,True
深入稳步继续没关系,0,0,"[0.9999634027481079, 3.656696935649961e-05]",0.9999634027481079,True
开始精准医疗,0,0,"[0.9999558925628662, 4.4049505959264934e-05]",0.9999558925628662,True
积极向上中,0,0,"[0.9999619722366333, 3.801520142587833e-05]",0.9999619722366333,True
稳步建议和谐发展持续推进,0,0,"[0.9999674558639526, 3.2561794796492904e-05]",0.9999674558639526,True
正在早点休息持续推进稳步发展,0,0,"[0.999966025352478, 3.3943728340091184e-05]",0.999966025352478,True
广州推进医疗创新,0,0,"[0.9999465942382812, 5.3417876188177615e-05]",0.9999465942382812,True
太蠢,1,1,"[4.038448605570011e-05, 0.9999595880508423]",0.9999595880508423,True
全面全面稳步继续不好意思,0,0,"[0.9999644756317139, 3.553642090992071e-05]",0.9999644756317139,True
开始金融市场平稳运行全面展开,0,0,"[0.999956488609314, 4.356740464572795e-05]",0.999956488609314,True
不客气全面展开,0,0,"[0.9999630451202393, 3.7009111110819504e-05]",0.9999630451202393,True
持续持续感谢分享稳步发展,0,0,"[0.9999648332595825, 3.521868711686693e-05]",0.9999648332595825,True
丫特,1,1,"[3.8338268495863304e-05, 0.9999616146087646]",0.9999616146087646,True
傻叉,1,1,"[3.781207851716317e-05, 0.9999622106552124]",0.9999622106552124,True
杭州推进制造业创新全面展开,0,0,"[0.9999587535858154, 4.123987673665397e-05]",0.9999587535858154,True
全国推进农业创新稳步发展,0,0,"[0.9999607801437378, 3.9233222196344286e-05]",0.9999607801437378,True
深入开始看看就好,0,0,"[0.9999574422836304, 4.2568237404339015e-05]",0.9999574422836304,True
持续继续最近好吗,0,0,"[0.9999579191207886, 4.203943535685539e-05]",0.9999579191207886,True
骚浪,1,1,"[4.457208706298843e-05, 0.999955415725708]",0.999955415725708,True
智硬,1,1,"[4.009304757346399e-05, 0.9999599456787109]",0.9999599456787109,True
全面正在安排上持续推进,0,0,"[0.999967098236084, 3.294721318525262e-05]",0.999967098236084,True
怂逼,1,1,"[4.0068200178211555e-05, 0.9999599456787109]",0.9999599456787109,True
太客气了完成,0,0,"[0.9999462366104126, 5.381233131629415e-05]",0.9999462366104126,True
跟我说话,1,1,"[0.0008523644064553082, 0.9991476535797119]",0.9991476535797119,True
嘴欠,1,1,"[5.6070050050038844e-05, 0.9999439716339111]",0.9999439716339111,True
继续汇率机制,0,0,"[0.9999265670776367, 7.346842176048085e-05]",0.9999265670776367,True
货们,1,1,"[8.616260311100632e-05, 0.9999138116836548]",0.9999138116836548,True
持续建议没关系持续推进,0,0,"[0.9999538660049438, 4.617893500835635e-05]",0.9999538660049438,True
杭州推进制造业创新,0,0,"[0.9999456405639648, 5.4305364756146446e-05]",0.9999456405639648,True
她妈,1,1,"[4.123499820707366e-05, 0.9999587535858154]",0.9999587535858154,True
玩应,1,1,"[0.0001096163978218101, 0.9998903274536133]",0.9998903274536133,True
公共服务持续改善全面展开持续推进,0,0,"[0.9999661445617676, 3.388871482457034e-05]",0.9999661445617676,True
广州推进制造业创新,0,0,"[0.9999427795410156, 5.720444460166618e-05]",0.9999427795410156,True
全面稳步涨知识,0,0,"[0.9999597072601318, 4.0347113099414855e-05]",0.9999597072601318,True
正在计算机视觉,0,0,"[0.9999524354934692, 4.759478906635195e-05]",0.9999524354934692,True
建议国际合作不断深化,0,0,"[0.9999632835388184, 3.6765897675650194e-05]",0.9999632835388184,True
犯二,1,1,"[4.6117056626826525e-05, 0.9999538660049438]",0.9999538660049438,True
公共服务持续改善,0,0,"[0.9999611377716064, 3.888165520038456e-05]",0.9999611377716064,True
需要数据分析,0,0,"[0.9999326467514038, 6.737948569934815e-05]",0.9999326467514038,True
深圳推进农业创新,0,0,"[0.9999350309371948, 6.493893306469545e-05]",0.9999350309371948,True
